site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
5303305,2025-05-27,2025-05-20,17.5,42,water_temperature,12.905361071544776,12.461538461538462,0.2005177807650055,1,False,4.594638928455224,5.038461538461538,4.594638928455224,spring,2025,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118181240,2026-01-31,2026-01-24,400.0,28,ecoli,3.2483721156458607,1.0283120029293755,0.2323600973236009,1,False,4.547425549358328,5.286757505812649,396.75162788435415,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
241118183629,2026-01-30,2026-01-23,1300.0,28,ecoli,13.6100212034247,73.12578505165624,0.2323600973236009,1,False,4.489180801455625,2.8651250303345943,1286.3899787965754,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182616,2026-01-30,2026-01-23,1366.67,28,ecoli,14.35958689392276,138.17611519357723,0.2323600973236009,1,False,4.489124008581202,2.2851236940874724,1352.3104131060772,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303396,2026-01-11,2026-01-04,1011.11,42,ecoli,10.519257422842044,2.0034234905041965,0.2323600973236009,1,False,4.475772346225257,5.820039738055262,1000.5907425771579,winter,2026,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303397,2025-09-21,2025-09-14,833.33,28,ecoli,10.990429869698904,7.951165381622109,0.2323600973236009,1,False,4.242520186801319,4.534845273502676,822.3395701303011,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033103,2025-04-29,2025-04-22,16.0,25,water_temperature,11.767671256996575,8.75,0.0338192402902974,1,False,4.232328743003425,7.25,4.232328743003425,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033105,2025-05-21,2025-05-14,577.78,36,ecoli,7.90719173398567,22.45801355613897,0.2323600973236009,1,False,4.17406342947837,3.2057102739211962,569.8728082660143,spring,2025,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033102,2025-04-29,2025-04-22,15.0,25,water_temperature,10.904922620823209,7.5,0.0505109103482706,1,False,4.095077379176791,7.5,4.095077379176791,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303384,2025-11-24,2025-11-17,611.11,41,ecoli,10.073995080018904,9.577831912245536,0.2323600973236009,1,False,4.012312430804902,4.058151522721068,601.0360049199811,autumn,2025,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033101,2025-11-14,2025-11-07,1383.33,35,ecoli,25.49633795685819,100.00000000000004,0.2323600973236009,1,False,3.955965013926061,2.6178510302205797,1357.8336620431417,autumn,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-06-07,2025-05-31,616.67,44,ecoli,10.921521915816538,6.70697083331126,0.2323600973236009,1,False,3.94760900326825,4.383829111909321,605.7484780841834,summer,2025,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
