site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
5303383,2025-01-23,2025-01-16,1.0,54,water_temperature,6.121138033972,12.0,0.0045163906142167,0,False,5.121138033972,11.0,5.121138033972,winter,2025,36–60 days,ordinary_result,seen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-03-01,2025-02-22,15.6,21,dissolved_oxygen,10.659066869771038,9.835,0.0204450617350182,0,False,4.940933130228961,5.764999999999999,4.940933130228961,spring,2025,10–35 days,ordinary_result,seen_in_model_fit,outside_training_5th_95th_percentiles
53033100,2026-03-22,2026-03-15,15.0,92,water_temperature,10.087732619732892,10.05,0.0142194065787716,1,False,4.912267380267108,4.949999999999999,4.912267380267108,spring,2026,61–120 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
251221150928,2025-08-21,2025-08-14,0.12,66,dissolved_oxygen,5.021328603122292,6.02,0.9915653547232496,1,True,4.901328603122292,5.8999999999999995,4.901328603122292,summer,2025,61–120 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033101,2025-05-09,2025-05-02,0.0,30,alkalinity,131.6663422692881,115.0,0.7170495145374322,1,True,4.887837271406967,4.7535901911063645,131.6663422692881,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303309,2025-01-11,2025-01-04,0.0,90,ecoli,127.23445086130025,27.067066853915556,0.2323600973236009,0,False,4.853860235853052,3.334596890931569,127.23445086130025,winter,2025,61–120 days,ordinary_result,seen_in_model_fit,within_training_5th_95th_percentiles
241118183206,2025-05-02,2025-04-25,0.0,28,ecoli,122.8943839604332,133.32999999999996,0.2323600973236009,0,False,4.81942946041193,4.900299459074922,122.8943839604332,spring,2025,10–35 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
5303360,2025-10-14,2025-10-07,6.0,14,water_temperature,10.67278666073354,8.875,0.0439140867962031,0,False,4.672786660733539,2.875,4.672786660733539,autumn,2025,10–35 days,ordinary_result,seen_in_model_fit,within_training_5th_95th_percentiles
53033100,2026-03-22,2026-03-15,0.0,92,hardness,105.41642139936737,103.63981801121452,0.4375645094139444,1,True,4.667359901459117,4.6505241485179125,105.41642139936737,spring,2026,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303320,2026-02-01,2026-01-25,900.0,27,ecoli,7.531448136877012,7.345062275336162,0.2323600973236009,1,False,4.659746140657396,4.681835237929675,892.468551863123,winter,2026,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
