site,target,planned_sample_date,issue_date,status,predicted,experimental_tail_probability,experimental_flag,target_age_days,selected_model,risk_model
241118181741,ph,2026-04-20,2026-04-13,eligible,7.77,0.15907716340255298,True,44.0,last_observation,forest
241118181741,conductivity,2026-04-20,2026-04-13,eligible,208.861941454361,0.18059299191374664,False,44.0,forest,constant_prevalence
241118181741,nitrate,2026-04-20,2026-04-13,eligible,1.1,0.3116630333671609,True,44.0,site_median,forest
241118181741,phosphate,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118181741,turbidity_reported,2026-04-20,2026-04-13,eligible,1.628289735980015,0.10981748385469811,False,44.0,site_seasonal,forest
241118181741,turbidity_legacy,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118181741,suspended_solids,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118181741,alkalinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118181741,hardness,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118181741,salinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118181852,ecoli,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,other_coliform,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,water_temperature,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,dissolved_oxygen,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,oxygen_saturation,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,ph,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,conductivity,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,nitrate,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,phosphate,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118181852,turbidity_reported,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118181852,turbidity_legacy,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118181852,suspended_solids,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118181852,alkalinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118181852,hardness,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118181852,salinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182046,ecoli,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,other_coliform,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,water_temperature,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,dissolved_oxygen,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,oxygen_saturation,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,ph,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,conductivity,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,nitrate,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,phosphate,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182046,turbidity_reported,2026-04-20,2026-04-13,target_history_older_than_120_days,,,,,,
241118182046,turbidity_legacy,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182046,suspended_solids,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182046,alkalinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182046,hardness,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182046,salinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182150,ecoli,2026-04-20,2026-04-13,eligible,11.899686855316938,0.23236009732360097,False,43.0,forest,constant_prevalence
241118182150,other_coliform,2026-04-20,2026-04-13,eligible,266.6699999999999,0.04720059912042802,False,43.0,last_observation,forest
241118182150,water_temperature,2026-04-20,2026-04-13,eligible,10.965939615067803,0.029445821530758007,False,106.0,forest,forest
241118182150,dissolved_oxygen,2026-04-20,2026-04-13,eligible,10.576210914404031,0.034323585421869286,False,106.0,forest,forest
241118182150,oxygen_saturation,2026-04-20,2026-04-13,eligible,93.45705046290173,0.058525276635076055,False,106.0,forest,forest
241118182150,ph,2026-04-20,2026-04-13,eligible,8.19,0.33160159877294115,True,106.0,last_observation,forest
