site,history_count,bacteria_age_days,planned_sample_date,issue_date,predicted_ecoli,experimental_elevated_probability,experimental_alert
5303346,119,106,2026-04-20,2026-04-13,125.95835918575364,0.47483190660381625,True
5303320,64,78,2026-04-20,2026-04-13,123.91737252801313,0.44274399375499146,True
241118181609,13,44,2026-04-20,2026-04-13,142.62800111256269,0.43077097901821293,True
5303387,6,47,2026-04-20,2026-04-13,172.19881491453378,0.3979617001717355,True
241118182616,13,45,2026-04-20,2026-04-13,217.3101797584507,0.394986291319684,True
251204220155,3,45,2026-04-20,2026-04-13,82.21606024634387,0.37994871072642417,True
251204215153,3,45,2026-04-20,2026-04-13,102.42734611772397,0.37892180056863534,True
5303306,62,78,2026-04-20,2026-04-13,134.61114688164128,0.36187767343113664,True
251204215814,3,45,2026-04-20,2026-04-13,65.3323637096644,0.36118767373169997,True
241118183308,11,108,2026-04-20,2026-04-13,80.76306898867492,0.35027415640967413,True
241118183206,10,108,2026-04-20,2026-04-13,79.19214666189241,0.341255858729666,True
241118182520,9,43,2026-04-20,2026-04-13,85.39887170700722,0.33349474594697187,True
241118181741,10,44,2026-04-20,2026-04-13,31.020601405330684,0.2942167308193851,True
5306103,112,24,2026-04-20,2026-04-13,33.95300813542805,0.2818589432288776,True
241118183629,10,45,2026-04-20,2026-04-13,69.57625886087101,0.26329096815918135,True
241118182150,12,43,2026-04-20,2026-04-13,30.75731839203951,0.25241262293665645,True
5303396,30,15,2026-04-20,2026-04-13,63.22290877942098,0.2521196793335287,True
241118182407,9,43,2026-04-20,2026-04-13,32.85587718359615,0.20527815883927436,False
251204220610,2,43,2026-04-20,2026-04-13,13.878475663654385,0.18123060076542763,False
5303393,29,10,2026-04-20,2026-04-13,6.211381846991979,0.1790943271331984,False
5303398,39,29,2026-04-20,2026-04-13,16.400671129815265,0.17145620720210542,False
241118183404,12,108,2026-04-20,2026-04-13,13.457356651070672,0.16596348095032112,False
5303321,99,25,2026-04-20,2026-04-13,15.940626895000548,0.16213298051222794,False
241118183501,8,108,2026-04-20,2026-04-13,11.204800759092779,0.15240668241250085,False
5303394,41,23,2026-04-20,2026-04-13,18.525686534938504,0.1441859277439892,False
5303322,39,57,2026-04-20,2026-04-13,35.08190452934061,0.12781257264872528,False
5303305,119,22,2026-04-20,2026-04-13,31.53711679904441,0.12415296200000965,False
5303391,35,22,2026-04-20,2026-04-13,45.0090782814025,0.12070301670079822,False
241118181240,10,44,2026-04-20,2026-04-13,9.536878019642643,0.120070122530568,False
53033101,15,37,2026-04-20,2026-04-13,49.37197635474407,0.11517516243405723,False
241118182245,9,43,2026-04-20,2026-04-13,11.614357946018576,0.10855087799640964,False
5306101,71,71,2026-04-20,2026-04-13,20.79633773612146,0.10704838849062857,False
241118180336,10,44,2026-04-20,2026-04-13,8.751042134102342,0.10403675884861861,False
5303371,37,74,2026-04-20,2026-04-13,19.930291211894637,0.09295469162315505,False
53033105,13,30,2026-04-20,2026-04-13,19.772849471701985,0.0766763965294334,False
5303384,19,90,2026-04-20,2026-04-13,8.368113298492384,0.07252808671734357,False
5303360,24,90,2026-04-20,2026-04-13,7.851167722669821,0.059079711293650465,False
5303397,29,44,2026-04-20,2026-04-13,10.860786414857623,0.056022269629162,False
5303383,19,90,2026-04-20,2026-04-13,13.13378219573445,0.05103866632999222,False
53033102,4,61,2026-04-20,2026-04-13,1.8853733264882373,0.04554995941480378,False
5303395,26,57,2026-04-20,2026-04-13,11.12153278142903,0.04532981632512013,False
5303392,37,40,2026-04-20,2026-04-13,12.10328306680078,0.04528100578046425,False
53033103,4,61,2026-04-20,2026-04-13,1.1398896100385982,0.044936085134414834,False
5303361,24,90,2026-04-20,2026-04-13,9.572513504849354,0.039483897724248936,False
