target,scenario,original_samples,excluded_samples,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision
alkalinity,all_test_observations,435,0,435,36,0.24906552295713333,0.268593773576137,7.270552239167263,31.9358482097262,-21.46412274054368,100,75,25,108,0.75,0.4098360655737705
alkalinity,exclude_ambiguous_site_labels,435,185,250,27,0.30559887042551903,0.33741653652200887,9.42978860030307,39.90606008108815,-27.496407723783435,61,46,15,61,0.7540983606557377,0.42990654205607476
alkalinity,exclude_protocol_formula_flags,435,0,435,36,0.24906552295713333,0.268593773576137,7.270552239167263,31.9358482097262,-21.46412274054368,100,75,25,108,0.75,0.4098360655737705
alkalinity,exclude_any_formula_difference,435,0,435,36,0.24906552295713333,0.268593773576137,7.270552239167263,31.9358482097262,-21.46412274054368,100,75,25,108,0.75,0.4098360655737705
alkalinity,reported_turbidity_meter_only,435,0,435,36,0.24906552295713333,0.268593773576137,7.270552239167263,31.9358482097262,-21.46412274054368,100,75,25,108,0.75,0.4098360655737705
alkalinity,combined_conservative_subset,435,185,250,27,0.30559887042551903,0.33741653652200887,9.42978860030307,39.90606008108815,-27.496407723783435,61,46,15,61,0.7540983606557377,0.42990654205607476
conductivity,all_test_observations,523,0,523,62,0.23775490063069465,0.21852320796692287,-8.800755234511668,54.841885291964424,-31.773606447394965,92,0,92,0,0.0,
conductivity,exclude_ambiguous_site_labels,523,141,382,54,0.21467506873694522,0.212246631430878,-1.1441582321922965,38.60041504058301,-13.1091703828591,56,0,56,0,0.0,
conductivity,exclude_protocol_formula_flags,523,0,523,62,0.23775490063069465,0.21852320796692287,-8.800755234511668,54.841885291964424,-31.773606447394965,92,0,92,0,0.0,
conductivity,exclude_any_formula_difference,523,0,523,62,0.23775490063069465,0.21852320796692287,-8.800755234511668,54.841885291964424,-31.773606447394965,92,0,92,0,0.0,
conductivity,reported_turbidity_meter_only,523,0,523,62,0.23775490063069465,0.21852320796692287,-8.800755234511668,54.841885291964424,-31.773606447394965,92,0,92,0,0.0,
conductivity,combined_conservative_subset,523,141,382,54,0.21467506873694522,0.212246631430878,-1.1441582321922965,38.60041504058301,-13.1091703828591,56,0,56,0,0.0,
dissolved_oxygen,all_test_observations,612,0,612,66,0.7133052791449361,0.9145945883047598,22.008583008666392,0.7133052791449361,0.051355584998503845,116,74,42,13,0.6379310344827587,0.8505747126436781
dissolved_oxygen,exclude_ambiguous_site_labels,612,184,428,57,0.7886236559315278,1.0236636493050044,22.96066618493801,0.7886236559315278,0.04426193023460494,97,66,31,12,0.6804123711340206,0.8461538461538461
dissolved_oxygen,exclude_protocol_formula_flags,612,0,612,66,0.7133052791449361,0.9145945883047598,22.008583008666392,0.7133052791449361,0.051355584998503845,116,74,42,13,0.6379310344827587,0.8505747126436781
dissolved_oxygen,exclude_any_formula_difference,612,0,612,66,0.7133052791449361,0.9145945883047598,22.008583008666392,0.7133052791449361,0.051355584998503845,116,74,42,13,0.6379310344827587,0.8505747126436781
dissolved_oxygen,reported_turbidity_meter_only,612,0,612,66,0.7133052791449361,0.9145945883047598,22.008583008666392,0.7133052791449361,0.051355584998503845,116,74,42,13,0.6379310344827587,0.8505747126436781
dissolved_oxygen,combined_conservative_subset,612,184,428,57,0.7886236559315278,1.0236636493050044,22.96066618493801,0.7886236559315278,0.04426193023460494,97,66,31,12,0.6804123711340206,0.8461538461538461
ecoli,all_test_observations,459,0,459,52,1.6058685663663683,1.882373624565446,14.689169811487883,167.17570364520682,-137.93588694103371,88,0,88,0,0.0,
ecoli,exclude_ambiguous_site_labels,459,111,348,44,1.610933153371622,1.6881848164151407,4.5760193014626545,189.88765540194004,-156.69216033555625,74,0,74,0,0.0,
ecoli,exclude_protocol_formula_flags,459,0,459,52,1.6058685663663683,1.882373624565446,14.689169811487883,167.17570364520682,-137.93588694103371,88,0,88,0,0.0,
ecoli,exclude_any_formula_difference,459,4,455,52,1.6012214910198594,1.8809113626478438,14.869912383019063,168.20145637897576,-138.88897489746876,88,0,88,0,0.0,
ecoli,reported_turbidity_meter_only,459,0,459,52,1.6058685663663683,1.882373624565446,14.689169811487883,167.17570364520682,-137.93588694103371,88,0,88,0,0.0,
ecoli,combined_conservative_subset,459,115,344,44,1.6048454762360393,1.6839927105863322,4.699974878319713,191.5084847649976,-158.17088159647494,74,0,74,0,0.0,
hardness,all_test_observations,428,0,428,36,0.21581570498734903,0.22387776042827465,3.6010970564932525,23.016572286343916,-14.278569364153435,89,68,21,170,0.7640449438202247,0.2857142857142857
hardness,exclude_ambiguous_site_labels,428,179,249,27,0.2742703813771822,0.29184107569160317,6.020637866956207,29.667622876007464,-19.98114387070989,52,41,11,88,0.7884615384615384,0.3178294573643411
hardness,exclude_protocol_formula_flags,428,0,428,36,0.21581570498734903,0.22387776042827465,3.6010970564932525,23.016572286343916,-14.278569364153435,89,68,21,170,0.7640449438202247,0.2857142857142857
hardness,exclude_any_formula_difference,428,0,428,36,0.21581570498734903,0.22387776042827465,3.6010970564932525,23.016572286343916,-14.278569364153435,89,68,21,170,0.7640449438202247,0.2857142857142857
hardness,reported_turbidity_meter_only,428,0,428,36,0.21581570498734903,0.22387776042827465,3.6010970564932525,23.016572286343916,-14.278569364153435,89,68,21,170,0.7640449438202247,0.2857142857142857
hardness,combined_conservative_subset,428,179,249,27,0.2742703813771822,0.29184107569160317,6.020637866956207,29.667622876007464,-19.98114387070989,52,41,11,88,0.7884615384615384,0.3178294573643411
nitrate,all_test_observations,187,0,187,24,0.18765117996388128,0.18765117996388128,0.0,0.44946573796075295,0.007776894706827842,19,18,1,161,0.9473684210526315,0.1005586592178771
nitrate,exclude_ambiguous_site_labels,187,0,187,24,0.18765117996388128,0.18765117996388128,0.0,0.44946573796075295,0.007776894706827842,19,18,1,161,0.9473684210526315,0.1005586592178771
nitrate,exclude_protocol_formula_flags,187,0,187,24,0.18765117996388128,0.18765117996388128,0.0,0.44946573796075295,0.007776894706827842,19,18,1,161,0.9473684210526315,0.1005586592178771
nitrate,exclude_any_formula_difference,187,0,187,24,0.18765117996388128,0.18765117996388128,0.0,0.44946573796075295,0.007776894706827842,19,18,1,161,0.9473684210526315,0.1005586592178771
nitrate,reported_turbidity_meter_only,187,0,187,24,0.18765117996388128,0.18765117996388128,0.0,0.44946573796075295,0.007776894706827842,19,18,1,161,0.9473684210526315,0.1005586592178771
nitrate,combined_conservative_subset,187,0,187,24,0.18765117996388128,0.18765117996388128,0.0,0.44946573796075295,0.007776894706827842,19,18,1,161,0.9473684210526315,0.1005586592178771
other_coliform,all_test_observations,164,0,164,31,1.0957575688266614,1.0957575688266614,0.0,2030.226707317073,270.395243902439,35,11,24,6,0.3142857142857143,0.6470588235294118
other_coliform,exclude_ambiguous_site_labels,164,15,149,26,1.134102672357217,1.134102672357217,0.0,2123.4262416107385,232.1427516778523,33,11,22,6,0.3333333333333333,0.6470588235294118
other_coliform,exclude_protocol_formula_flags,164,2,162,31,1.088210621124394,1.088210621124394,0.0,1960.8412345679014,276.81308641975306,34,11,23,6,0.3235294117647059,0.6470588235294118
other_coliform,exclude_any_formula_difference,164,2,162,31,1.088210621124394,1.088210621124394,0.0,1960.8412345679014,276.81308641975306,34,11,23,6,0.3235294117647059,0.6470588235294118
other_coliform,reported_turbidity_meter_only,164,0,164,31,1.0957575688266614,1.0957575688266614,0.0,2030.226707317073,270.395243902439,35,11,24,6,0.3142857142857143,0.6470588235294118
other_coliform,combined_conservative_subset,164,17,147,26,1.1263073300394877,1.1263073300394877,0.0,2048.2286394557823,238.69503401360544,32,11,21,6,0.34375,0.6470588235294118
